0,1,2,3,4
"ld,.=K jd¾;dj வானிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2025.06.27
          for the 24 hour period ending at 0830SLTS on this date",,,,
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)",,"vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)
Daily Rainfall",
,Temperature in the shade (°C),,,
,upÝmcaH Max,"avm ,opTMin.",,
wkqrdOmqrhஅநுராதபுரம்Anuradhapura,31.5,24.3,0.0,
"nÿ,a, பதுளைBadulla",30.5,19.6,0.0,
"nKavdrfj, பண்டாரவளைBandarawela",28.9,19.0,0.0,
"uvl,mqj மட்டக்கைப்புBatticaloa",34.2,26.6,0.0,
fld<U ககாழும்புColombo,31.3,25.1,1.8,
".d,a, காலிGalle",30.1,25.2,0.0,
yïnkaf;dg ம்பாந்ததாட்ளடHambanthota,31.0,25.1,0.0,
hdmkh  யாழ்ப்பாணம்Jaffna,32.1,27.7,0.0,
"fudKrd., கமானறாகளல Monaragala",34.2,21.8,0.0,
lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota,28.7,21.5,5.0,
lgqkdhl  கட்டுநாயக்காKatunayake,31.9,24.3,16.9,
"l=reKE., குருணாகல் Kurunagala",31.6,24.0,11.6,
"uy b¨mam,a,u மஹாஇலுப்பல்லம Maha Illuppallama",31.8,24.5,0.4,
ukakdru மன்னார்Mannar,31.4,27.7,0.0,
fmdf<dkakrej  கபாலன்நறுவ polonnaruwa,35.7,27.0,0.0,
kqjrt<sh  நுவகரலியாNuwara Eliya,19.1,14.9,1.0,
"fmd;=ú,a கபாத்துவில்Pothuvil",36.5,25.6,0.0,
"m
;a;,u புத்தைம்Puttalam",31.5,24.9,43.4,
"r;au,dk இரத்மலாளனRathmalana",33.0,25.0,3.0,
r;akmqrh இரத்தினபுரிRathnapura,32.9,23.1,5.3,
";%sl=Kdu,h திருதகாணமளலTrincomalee",34.4,26.3,0.0,
jõkshdj வவுனியாVavuniya,33.7,25.2,0.0,
"u;a;, மத்தைMattla",34.0,24.2,0.0,
මුලතිව් முல்லைத்தீவுMullaitivu,34.5,26.5,0.0,
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரேந்துப் பேப்பு Hydro Catchment Areas",,,,
vR;`m`n Sw`n kio tPo;rp epiyaq;fs;  Rainfall Stations,ÉÉ-kp..kP-mm,vR;`m`n Sw`n kio tPo;rp epiyaq;fs;    Rainfall Stations,,ÉÉ-kp..kP-mm
කාසල්රීகாசல்றீச்Castlereigh,6.0,රන්නෙණි ල இ ந்மெனிகைRandenigala,,0.0
න ෝටන්ந ாட்டன்Norton,21.5,රන්ටැනේ இ ந்ெம்நபRantambe,,0.0
මාඕස්සාකැනල්රம ௌசக்கநை Maussakele,3.0,නබෝවතැන්  நபாவத்ென்னBowatenna,,1.1
කැනියන්கன்யன்Canyon,8.2,උකුනවලஉக்குவைUkuwela,,2.9
ලක්ෂපා ைக்சபானLakshapana,47.2,සම ළවැවச னைமவவSamanala Wawa,,0.0
ඉහල නකාත්මනල්රந ல்மகாத் லைUpper Kotmale,7.4,කුකුනල්ර  ංඟ குக்குநைகங்கKukuleganaga,,4.0
නකාත්මනල්ර மகாத் லைKotmale,11.8,මස්නකළිය ஸ்நகலியMaskeliya,,NA
වික්නටෝරියාவிக்ந ாறியா Victoriya,0.0,ෑබ  ாமபாலடNeboda,,0.0
,,,,
wksl=;a j¾Idm;k ia:dk ஏழைய நிழலயங்களின் மழைவீழ்ச்சி Other Rainfall Stations,,,,
vR;`m`nSw`n kio tPo;rp epiyaq;fs;   Rainfall Stations,ÉÉ-kp..kP-mm,vR;`m`n Sw`n kio tPo;rp epiyaq;fs;  Rainfall Stations,,ÉÉ-kp..kP-mm
දුම්මලසූරියதும் ைசூரிய Dummalasooriya,65.2,කිරිදිනවල கிரிந்திவை Kirindiwela (AWS),,22.5
නෙහිවල மெகிவலை Dehiwala,60.0,මැල්රනකෝපිවත්ත ம ல்நகாப்பிவத்லெ Melkopiwatta (AWS),,22.0
යට්ටපාත யட்டபத்ெ Yattapatha (AWS),51.0,කු ාව குடாவ Kudawa (AWS),,21.0
වරකානපාල வறக்காமபாை Warakapola,49.8,පස්යාල பஸ்யாை Pasyala (AWS),,19.0
කුලියාපිටිය குளியாபிட்டிய Kuliyapitiya,46.5,හිඳවஹினிது Hindawa,,18.1
මාරවිල  ாறவிை Marawila,45.7,දුනුමනල්ර වතුයාය துனு லை நொட்டம் Dunumale Estate (AWS),,18.0
න ානරාචනචාලි நுல ச்நசாலை  Norochcholai,41.3,උඳුන ා உந்துமகாடUndugoda,,17.8
මන ාල්රතැන්  වතුයාය  மடால்ென்லன நொட்டம் Madolthenna Estate (AWS),,වතුපිටිවල வத்துப்பிட்மவலை Wathupitiwala (AWS),,17.5
කළුපහ  වතුයාය கலுபஹன நொட்டம் Kalupahana Estate (AWS),24.0,තබනබෝව ெப்நபாவ Tabbowa,,17.2
දිව්ලපිටිය திவுைபிட்டிய Divulapitiya (AWS),23.5,පාලවී பாைாவி Palavi,,16.9
,,,,
Wmßu j¾Idm;kh  / அதிகூடிய மழைவீழ்ச்சி/ Highest Rainfall :,,"දුම්මලසූරියதும்மலசூரிய Dummalasooriya 
65.2
mm
(Puttalam District)",,
