Station,Max,Min,Rainfall
"ld,.=K jd¾;dj வானிலை அறிக்லக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2025.06.26
          for the 24 hour period ending at 0830SLTS on this date",,,
wkqrdOmqrh அநுராதபுரம்  Anuradhapura,32.6,25.3,0.0
"nÿ,a, பதுளை Badulla",30.4,18.0,0.0
"nKavdrfj, பண் டாரவளை Bandarawela",27.9,17.5,0.0
"uvl,mqj மட்டக்கைப்பு Batticaloa",37.2,26.4,0.0
fld<U ககாழும்பு Colombo,30.9,25.1,4.4
".d,a, காலி Galle",30.1,25.6,8.2
yïnkaf;dg ம்பாந்ததாட்ளட Hambanthota,30.6,25.9,0.2
hdmkh  யாழ்ப்பாணம்  Jaffna,32.7,28.0,0.0
"fudKrd., கமானறாகளை Monaragala",34.3,21.6,0.0
lgq.iaf;dg  கட்டுகஸ் ததாட்ளட Katugasthota,29.0,23.0,0.4
lgqkdhl  கட்டுநாயக்கா Katunayake,31.4,25.3,2.8
"l=reKE., குருணாகை்  Kurunagala",31.2,25.0,4.2
"uy b¨mam,a,u மஹாஇலுப்பை் ைம Maha Illuppallama 31.9",,25.8,0.6
ukakdru மன் னார் Mannar,31.4,28.4,0.0
fmdf<dkakrej  கபாைன் நறுவ Polonnaruwa,35.0,27.2,0.0
kqjrt<sh  நுவகரலியா Nuwara Eliya,19.2,14.9,0.9
"fmd;=ú,a கபாத்துவிை்  Pothuvil",37.0,25.6,0.0
"m
;
;,u புத்தைம்  Puttalam",31.9,27.4,0.0
"r;au,dk இரத்மைாளன Rathmalana",32.9,24.5,13.6
r;akmqrh இரத்தினபுரி Rathnapura,32.3,22.8,21.8
";
%sl=Kdu,h திருதகாணமளை Trincomalee",35.4,27.0,0.0
jõkshdj வவுனியா Vavuniya,33.8,26.4,0.0
"u;a;, மத்தை Mattala",34.5,25.5,0.0
මුලතිව් முை்ளைத்தீவு Mullaitivu,34.8,27.4,0.0
"úÿ,s n,d.dr wdY%
; c,dY  நீ ர்மின்  நீ ரரந்துப்  பரப்பு Hydro Catchment Areas",,,
කාසල්රී காசை் றீச்  Castlereigh,15.0,රන්නදණි ල இரந்கதனிகை Randenigala,
න ෝටන් தநாட்டன்   Norton,21.6,රන්ටැනේ இரந்தம்தப Rantambe,
මාඕස්සාකැනල්ර கமௌசக்கதை  Maussakele,9.5,නෙෝවතැන්  தபாவத்தன் ன  Bowatenna,
කැනියන් கன் யன்   Canyon,23.0,උකුනවල உக்குவை Ukuwela,
ලක්ෂපා  ைக்சபான  Lakshapana,25.0,සම ළවැව சமனைகவவ Samanala Wawa,
ඉහල නකාත්මනල්ර தமை் ககாத்மளை Upper Kotmale,7.8,කුකුනල්ර  ංඟ குக்குதைகங் க Kukuleganaga,
නකාත්මනල්ර ககாத்மளை Kotmale,9.6,මස්නකළිය மஸ் தகலிய Maskeliya,
වික්නටෝරියා விக்தராறியா  Victoriya,0.0,ෑෙඩ நாகபாளட Neboda,
මාදම්නේ மாதம்தப Madampe (AWS),52.5,කුඩාව குடாவ Kudawa (AWS),
නෙන්නතාට වත්ත கபந்ததாட்டவத்த Benthotawatta,35.0,කැටන්නදාළ கட்டன் கதாை Kethendola,
කළුපහ  වතුයාය கலுபஹன ததாட்டம்  Kalupahana Estate (AWS),,නතේප ාව கதப்பனாவ Theppanawa (AWS),
කිරිදිනවල கிரிந்திவை Kirindiwela,27.6,විතා කන්ද වතුයාය விதானகந்த ததாட்டம்  Vithanakanda Estate (AWS),
යට්ටපාත யட்டபத்த Yattapatha (AWS),27.5,නදවිතුරා වතුයාය கதவிதுர ததாட்டம்  Devitura Estate (AWS),
නිරිඇල්රල நிரிகயை் ை Niriella (AWS),26.5,මනඩාල්රතැන්  වතුයාය மகடாை் தன் ளன ததாட்டம்  Madolthenna Estate (AWS),
නදහිඕවිට கதஹிதயாவிட்ட Dehiowita (AWS),23.5,කැස්ෙෑව கஸ் பாவ Kesbewa (AWS),
නදල්රවල නත්.කර්. கதை் ைவ தத. கதா. Dellawa TF (AWS),23.0,යටියන්නතාට யடியந்ததாட்ளட Yatiyantota (AWS),
උඳුන ාඩஉந்துககாடUndugoda,22.5,ලබු ම ைபுகம Labugama,
නෙෝන ාඩ නත්.කර්. தபாககாளட தத. கதா. Bogoda TF (AWS)22.0,,හිනිඳුම கினிதும Hiniduma,
Wmßu j¾Idm;kh  / அதிகூடிய மலைவீை் ச்சி/ Highest Rainfall :,,"මාදම්පේ மாதம் ரப Madampe (AWS)
52.5 mm
( Rathnapura District )",
