Date,Castlereigh,Norton,Maussakele,Canyon,Lakshapana,Upper Kotmale,Kotmale,Victoria,Randenigala,Rantambe,Bowatenna,Ukuwela,Samanala Wewa,Kukuleganga,Maskeliya (DOM),Inginiyagala,Total,Max,Min
2025-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,32.0,32.0,32.0,0.0
2025-07-30,0.5,0.4,0.3,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.8,0.0
2025-07-31,0.0,0.5,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
2025-08-01,4.0,7.5,6.1,11.5,5.3,0.6,3.5,0.0,0.0,0.0,26.2,2.0,0.0,2.0,5.5,5.5,79.7,26.2,0.0
2025-08-02,18.0,10.7,24.0,17.2,7.5,3.6,3.5,1.8,0.0,0.0,0.0,0.0,0.0,14.0,60.5,2.0,162.8,60.5,0.0
2025-08-03,,56.5,40.0,55.6,56.3,0.0,76.0,6.3,,6.7,1.6,33.3,13.0,13.0,18.5,0.0,376.8,76.0,0.0
2025-08-04,6.0,11.6,1.0,5.7,9.3,2.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.5,11.6,0.0
2025-08-05,,,,,,,,,,,,,,,,,,,
2025-08-06,1.0,1.3,1.0,0.5,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.0,1.3,0.0
2025-08-07,1.0,4.0,0.0,1.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.8,4.0,0.0
2025-08-08,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
2025-08-09,,,,,,,,,,,,,,,,,,,
2025-08-10,0.0,0.7,1.0,0.3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,11.5,5.0,0.0
2025-08-11,18.0,27.0,11.5,22.3,29.9,11.9,10.5,0.0,0.0,0.0,0.0,10.0,0.0,30.0,7.5,12.0,190.6,30.0,0.0
2025-08-12,18.0,15.3,9.0,21.6,13.1,15.2,11.2,0.0,0.0,0.0,0.0,3.6,0.0,25.0,5.5,0.0,137.5,25.0,0.0
2025-08-13,26.0,18.2,3.4,24.0,6.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,108.0,26.0,0.0
2025-08-14,5.3,6.5,2.6,4.6,6.3,4.0,2.4,0.0,0.0,0.0,0.0,3.6,0.0,1.0,0.0,0.0,36.3,6.5,0.0
2025-08-15,22.0,9.8,8.5,23.2,9.4,6.8,5.5,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.5,0.0,98.7,23.2,0.0
2025-08-16,22.0,24.7,17.0,26.4,14.2,27.7,9.5,0.0,0.0,0.0,5.1,3.1,0.0,26.0,20.0,0.0,195.7,27.7,0.0
2025-08-17,18.0,34.0,13.0,19.3,26.4,13.6,16.0,0.0,0.0,0.0,1.4,11.0,0.0,15.0,7.5,0.0,175.2,34.0,0.0
2025-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0
2025-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-21,0.0,0.0,0.0,0.0,0.0,2.9,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,18.9,16.0,0.0
2025-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,21.2,18.0,0.0
2025-08-23,2.0,3.7,0.5,1.1,3.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,15.0,26.4,15.0,0.0
2025-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0
2025-08-26,2.5,7.6,0.0,1.0,17.4,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,37.7,17.4,0.0
2025-08-27,25.9,31.2,21.2,30.4,27.0,13.2,16.0,2.6,0.0,0.0,0.0,3.2,0.0,30.0,31.0,0.0,231.7,31.2,0.0
2025-08-28,26.5,25.5,22.0,30.0,24.7,14.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,0.0,184.5,30.0,0.0
2025-08-29,8.0,7.5,2.0,5.0,5.6,5.5,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.5,0.0,38.1,8.0,0.0
2025-08-30,13.0,15.6,8.3,19.3,10.0,6.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,85.0,19.3,0.0
2025-08-31,,9.2,2.0,11.1,3.6,4.5,3.0,0.0,,0.0,0.0,0.0,0.0,7.0,1.5,0.0,41.9,11.1,0.0
2025-09-01,11.0,13.0,6.4,11.2,8.0,7.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,81.8,18.7,0.0
2025-09-03,,28.0,6.1,7.5,21.6,5.1,1.4,0.0,,0.0,0.0,0.0,0.0,6.0,4.0,0.0,79.7,28.0,0.0
2025-09-04,0.0,0.5,0.0,1.1,0.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3.4,0.0
2025-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-06,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,40.3,36.0,0.0
2025-09-07,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0
2025-09-08,27.0,36.0,6.3,8.7,24.1,23.2,7.0,34.0,0.0,2.4,56.4,4.5,6.0,18.0,9.5,0.0,263.1,56.4,0.0
2025-09-09,32.0,17.5,28.0,20.3,7.1,3.0,5.6,23.4,0.0,0.0,20.2,3.1,0.0,0.0,37.5,0.0,197.7,37.5,0.0
2025-09-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,20.0,0.0
